exp;video;id;mother track;daughter track(s);metaphase frame - mitosis video;cytokinesis frame - mitosis video;first MT cut frame - mitosis video;second MT cut frame - mitosis video;metaphase frame;cytokinesis frame;first MT cut frame;second MT cut frame;position midbody x;position midbody y;first MT cut time;second MT cut time;;matched cytokinesis frame;matched cut frame;matched position midbody x;matched position midbody y
EXP1;Control-3;29;4;112;8;11;TOO_SHORT_CUT;TOO_SHORT_CUT;75;78;TOO_SHORT_CUT;TOO_SHORT_CUT;221;38;;;;-1;-1;-1;-1
EXP1;Control-3;2;291;303;4;11;TOO_SHORT_CUT;TOO_SHORT_CUT;201;208;TOO_SHORT_CUT;TOO_SHORT_CUT;158;613;;;;-1;-1;-1;-1
EXP1;Control-3;30;12;95;8;11;24;25;57;60;73;74;1065;504;130;140;;60;73;1067;506
EXP1;Control-3;31;25;83;9;12;23;26;48;51;62;65;1063;932;110;140;;51;63;1016;938
EXP1;Control-3;32;26;78;5;11;26;28;41;47;62;64;752;964;150;170;;47;62;757;985
EXP1;Control-3;33;34;64,54;6;10;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;19;23;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;1092;197;;;;24;34;1108;184
EXP1;Control-3;34;10;59;7;10;19;20;27;30;39;40;619;356;90;100;;32;39;615;353
EXP1;Control-3;35;9;46;1;12;TOO_SHORT_CUT;TOO_SHORT_CUT;1;12;TOO_SHORT_CUT;TOO_SHORT_CUT;561;283;;;;-1;-1;-1;-1
EXP1;Control-3;36;32;39;1;5;NEAR_BORDER;NEAR_BORDER;1;5;NEAR_BORDER;NEAR_BORDER;816;1023;;;;5;15;865;1069
EXP1;Control-3;37;7;38;1;5;TOO_SHORT_CUT;TOO_SHORT_CUT;1;5;TOO_SHORT_CUT;TOO_SHORT_CUT;860;284;;;;-1;-1;-1;-1
EXP1;Control-3;3;59;294,284;0;13;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;181;194;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;614;395;;;;-1;-1;-1;-1
EXP1;Control-3;4;280;293;2;8;TOO_SHORT_CUT;TOO_SHORT_CUT;192;198;TOO_SHORT_CUT;TOO_SHORT_CUT;1351;822;;;;-1;-1;-1;-1
EXP1;Control-3;5;285;292,291;2;5;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;195;198;MORE_THAN_TWO_DAUGHTER_TRACKS;MORE_THAN_TWO_DAUGHTER_TRACKS;39;567;;;;-1;-1;-1;-1
